rollRate,pitchRate,pitch,roll,velocityX,velocityY,velocityZ,deltaAltitude,deltaHeading,yawRate,pcAll,Latitude,Longitude,Altitude,Heading,isReward,isPenalize,time,isExcept,isTry,Reward
1.8309091329574585,-0.4598740041255951,12.08306884765625,-1.0119296312332153,7.927731990814209,13.045831680297852,-106.5486068725586,4.8017578125,0.31585168838500977,0.736363410949707,0.30257126298965886,47.47742462158203,-122.30750274658203,1035.8017578125,4.31585168838501,True,False,1709535115.3749382,False,True,7.056706530228496e-08
5.880174160003662,2.133535385131836,12.2273530960083,0.13249874114990234,7.8066582679748535,12.417378425598145,-106.06201934814453,8.4488525390625,0.7040996551513672,1.8365877866744995,0.30141518905293196,47.477699279785156,-122.3074722290039,1039.4488525390625,4.704099655151367,True,False,1709535115.6765203,False,True,2.3794753467587526e-07
7.981669902801514,7.555302143096924,13.819706916809082,2.7011992931365967,7.735592842102051,11.899192810058594,-105.48741912841797,12.2916259765625,1.5916600227355957,3.2495529651641846,0.30633077601669356,47.478004455566406,-122.30744171142578,1043.2916259765625,5.591660022735596,True,False,1709535115.9830322,False,True,1.1244096890239419e-06
7.503760814666748,8.216239929199219,16.312057495117188,5.419919490814209,7.909031391143799,12.320144653320312,-104.77095794677734,15.9537353515625,2.9699110984802246,4.185044765472412,0.30116800201358274,47.478294372558594,-122.30741119384766,1046.9537353515625,6.969911098480225,False,True,1709535116.2844,False,True,-3.886697784172277e-06
6.248562335968018,3.6528587341308594,17.96468734741211,7.970692157745361,8.391532897949219,13.40491771697998,-103.85126495361328,19.73486328125,4.529879570007324,4.406681060791016,0.30095626396359876,47.47856903076172,-122.30738067626953,1050.73486328125,8.529879570007324,False,True,1709535116.585469,False,True,-9.010240849871565e-06
2.3141331672668457,1.6286919116973877,18.387907028198242,9.783902168273926,9.075052261352539,14.301111221313477,-102.86249542236328,23.9664306640625,6.000536918640137,4.181424140930176,0.30671258398797363,47.47885513305664,-122.3073501586914,1054.9664306640625,10.000536918640137,False,True,1709535116.8923175,False,True,-1.5706504979173808e-05
-0.37035876512527466,0.37165555357933044,18.534381866455078,10.414841651916504,9.879165649414062,15.042762756347656,-101.86492156982422,28.3809814453125,7.30192756652832,3.6688170433044434,0.30110031401272863,47.47913360595703,-122.30731201171875,1059.3809814453125,11.30192756652832,False,True,1709535117.193597,False,True,-2.306990130829245e-05
0.1593015044927597,1.076060175895691,18.465517044067383,10.594700813293457,10.812922477722168,15.592095375061035,-100.85877227783203,33.1510009765625,8.352367401123047,2.5557007789611816,0.3072663930361159,47.47941589355469,-122.30726623535156,1064.1510009765625,12.352367401123047,False,True,1709535117.500982,False,True,-2.9886301990411646e-05
3.9630513191223145,1.3290660381317139,18.809728622436523,11.403707504272461,11.70144271850586,16.102262496948242,-99.87545013427734,37.875,9.096418380737305,1.8610241413116455,0.30141312000341713,47.47968673706055,-122.3072280883789,1068.875,13.096418380737305,False,True,1709535117.8025017,False,True,-3.507608974007148e-05
7.442538261413574,0.9651102423667908,19.015003204345703,13.343985557556152,12.63992691040039,16.56959342956543,-98.865234375,42.75341796875,9.659494400024414,1.1375466585159302,0.3012079580221325,47.47995376586914,-122.30718231201172,1073.75341796875,13.659494400024414,False,True,1709535118.1038163,False,True,-3.910957231145762e-05
7.7742438316345215,0.5812444686889648,19.180124282836914,15.8380126953125,13.64332389831543,16.933631896972656,-97.85243225097656,47.7633056640625,9.926033973693848,0.3555104434490204,0.3012666550348513,47.480220794677734,-122.30712890625,1078.7633056640625,13.926033973693848,False,True,1709535118.4052076,False,True,-4.078902541271301e-05
7.824459552764893,-1.5603022575378418,19.099098205566406,18.07332420349121,14.74465274810791,17.27631187438965,-96.79328918457031,52.8740234375,9.869291305541992,-0.6378631591796875,0.30117715999949723,47.4804801940918,-122.30707550048828,1083.8740234375,13.869291305541992,False,True,1709535118.7065122,False,True,-3.977335413651861e-05
7.344222068786621,-3.9445416927337646,18.388023376464844,20.23842430114746,15.83206844329834,17.421417236328125,-95.76220703125,58.1239013671875,9.218253135681152,-1.395405888557434,0.301021502004005,47.480743408203125,-122.30701446533203,1089.1239013671875,13.218253135681152,False,True,1709535119.0076725,False,True,-3.4112348526682545e-05
7.502487659454346,-6.194018363952637,17.102556228637695,22.118505477905273,16.823278427124023,17.193307876586914,-94.83598327636719,63.379638671875,8.145000457763672,-1.9563106298446655,0.3009039129829034,47.48100662231445,-122.30694580078125,1094.379638671875,12.145000457763672,False,True,1709535119.308684,False,True,-2.6075057920182942e-05
5.602041244506836,-7.554265022277832,15.445569038391113,23.76766014099121,17.61484146118164,16.48029899597168,-94.11698150634766,68.406494140625,6.645637512207031,-2.423218011856079,0.3010000479989685,47.481258392333984,-122.30687713623047,1099.406494140625,10.645637512207031,False,True,1709535119.609799,False,True,-1.6867133819764568e-05
3.510183334350586,-9.219070434570312,13.394665718078613,24.624217987060547,18.089460372924805,15.333094596862793,-93.57968139648438,73.21875,4.922496795654297,-1.7684006690979004,0.30229319498175755,47.48151779174805,-122.30680847167969,1104.21875,8.922496795654297,False,True,1709535119.912218,False,True,-8.851426052225442e-06
1.088356614112854,-8.213984489440918,11.049474716186523,25.094131469726562,18.10906410217285,13.670125007629395,-93.2844009399414,77.5020751953125,3.5486254692077637,0.3246496915817261,0.30101422098232433,47.48176574707031,-122.3067398071289,1108.5020751953125,7.548625469207764,False,True,1709535120.2133567,False,True,-4.32166638053566e-06
